,Movie Title,Release Year,Runtime,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Ranking,Release Date,Production Budget,Domestic Gross,Worldwide Gross
0,The Shawshank Redemption,1994,142,9.3,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1994-09-23,25000000,28313053,28784937
1,The Dark Knight,2008,152,9.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2008-07-11,185000000,536625724,1010086005
2,The Godfather: Part II,1974,202,9.0,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1974-12-11,13000000,57300000,57386697
3,The Lord of the Rings: The Return of the King,2003,201,8.9,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,2003-12-17,94000000,381472917,1123837908
4,Inception,2010,148,8.8,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,203,2010-07-16,160000000,293662683,826873382
5,Fight Club,1999,139,8.8,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,1999-10-15,65000000,37030102,100820947
6,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,2001-12-19,93000000,318651105,894291662
7,Forrest Gump,1994,142,8.8,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1994-07-06,55000000,330151138,679835137
8,The Lord of the Rings: The Two Towers,2002,179,8.7,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,2002-12-18,94000000,345115396,921711177
9,The Matrix,1999,136,8.7,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,965,1999-03-31,65000000,174304288,466281862
10,Goodfellas,1990,146,8.7,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1990-09-19,25000000,46743809,47103483
11,Interstellar,2014,169,8.6,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,194,2014-11-05,165000000,203225563,641756828
12,Saving Private Ryan,1998,169,8.6,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,961,1998-07-24,65000000,216335085,485035085
13,The Green Mile,1999,189,8.6,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1999-12-10,60000000,136801374,290701374
14,Se7en,1995,127,8.6,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1995-09-15,30000000,100908157,328908157
15,The Silence of the Lambs,1991,118,8.6,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1991-02-14,20000000,130726716,275726375
16,Joker,2019,122,8.5,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2019-10-02,55000000,335451311,1063574394
17,The Prestige,2006,130,8.5,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,2006-10-20,40000000,53089891,104407366
18,The Departed,2006,151,8.5,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,585,2006-10-06,90000000,132384315,289660619
19,Gladiator,2000,155,8.5,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,2000-05-01,103000000,187683805,451683599
20,Léon,1994,110,8.5,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1994-11-18,16000000,19284974,45258012
21,The Lion King,1994,88,8.5,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,1994-06-15,79300000,423981226,988389726
22,Terminator 2: Judgment Day,1991,137,8.5,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,477,1991-07-02,100000000,203464105,515344899
23,Back to the Future,1985,116,8.5,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1985-07-03,19000000,215612287,388862657
24,Avengers: Endgame,2019,181,8.4,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019-04-23,400000000,858373000,2717503922
25,Avengers: Infinity War,2018,149,8.4,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,2018-04-25,300000000,678815482,2048359754
26,Coco,2017,105,8.4,Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,162,2017-10-27,175000000,210460015,796397165
27,Django Unchained,2012,165,8.4,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,484,2012-12-25,100000000,162805434,449841566
28,The Dark Knight Rises,2012,164,8.4,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2012-07-19,230000000,448139099,1082228107
29,Once Upon a Time in America,1984,229,8.4,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1984-06-01,30000000,5321508,5577556
30,Raiders of the Lost Ark,1981,115,8.4,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1981-06-12,20000000,225686079,367451914
31,The Shining,1980,146,8.4,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1980-05-23,19000000,45634750,46805191
32,Apocalypse Now,1979,147,8.4,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1979-08-15,31500000,83535860,85955386
33,1917,2019,119,8.3,Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,485,2019-12-25,100000000,159227644,383710072
34,Inglourious Basterds,2009,153,8.3,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,878,2009-08-21,70000000,120774594,316802281
35,Eternal Sunshine of the Spotless Mind,2004,108,8.3,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,2004-03-19,20000000,34366518,72401378
36,American Beauty,1999,122,8.3,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1999-09-15,15000000,130058047,356258047
37,Toy Story,1995,81,8.3,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1995-11-22,30000000,192523233,365270951
38,Braveheart,1995,178,8.3,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,861,1995-05-24,72000000,75545647,209045244
39,Full Metal Jacket,1987,116,8.3,Stanley Kubrick,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1987-06-26,30000000,45015999,48845082
40,Aliens,1986,137,8.3,James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1986-07-18,17000000,85160248,183291893
41,Amadeus,1984,160,8.3,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1984-09-19,18000000,51973029,52025100
42,Scarface,1983,170,8.3,Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983-12-09,25000000,45227398,45233082
43,Lawrence of Arabia,1962,228,8.3,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1962-12-16,15000000,37495385,69995047
44,Green Book,2018,130,8.2,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2018-11-16,23000000,85080171,319995019
45,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2017-11-10,12000000,54513740,161158351
46,Baahubali 2: The Conclusion,2017,167,8.2,S.S. Rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2017-04-28,30000000,18985794,263502914
47,Klaus,2019,96,8.2,Sergio Pablos,Carlos Martínez López,Jason Schwartzman,J.K. Simmons,Rashida Jones,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2019-11-08,40000000,0,0
48,Warrior,2011,140,8.2,Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2011-09-09,25000000,13657115,24215385
49,Shutter Island,2010,138,8.2,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,704,2010-02-19,80000000,128012934,299461782
50,Up,2009,96,8.2,Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,2009-05-28,175000000,293004164,731463377
51,The Wolf of Wall Street,2013,180,8.2,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,2013-12-25,100000000,116949183,389816136
52,There Will Be Blood,2007,158,8.2,Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2007-12-26,25000000,40222514,77186081
53,Toy Story 3,2010,103,8.2,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2010-06-18,200000000,415004880,1068879522
54,Batman Begins,2005,140,8.2,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,2005-06-15,150000000,205343774,356770593
55,A Beautiful Mind,2001,135,8.2,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,2001-12-21,78000000,170708996,317668058
56,Casino,1995,178,8.2,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1995-11-22,52000000,42438300,110400000
57,Unforgiven,1992,130,8.2,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1992-08-07,14400000,101157447,159157447
58,Indiana Jones and the Last Crusade,1989,127,8.2,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1989-05-24,48000000,197171806,474171806
59,Die Hard,1988,132,8.2,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1988-07-15,28000000,85892546,143651650
60,Raging Bull,1980,129,8.2,Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1980-11-14,18000000,23380203,23417649
61,Logan,2017,137,8.1,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,347,2017-02-23,127000000,226277068,614202315
62,Room,2015,118,8.1,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2015-10-16,13000000,14677674,36316727
63,Soul,2020,100,8.1,Pete Docter,Kemp Powers,Jamie Foxx,Tina Fey,Graham Norton,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2020-12-24,200000000,946154,120068830
64,The Grand Budapest Hotel,2014,99,8.1,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014-03-05,31000000,59076019,163037661
65,Gone Girl,2014,149,8.1,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,2014-10-02,61000000,167767189,367128535
66,Hacksaw Ridge,2016,139,8.1,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2016-11-03,40000000,67209615,168423249
67,Inside Out,2015,95,8.1,Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2015-06-12,175000000,356461711,850309035
68,12 Years a Slave,2013,134,8.1,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2013-10-18,20000000,56671993,180765061
69,Rush,2013,123,8.1,Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013-09-13,38000000,26947624,98159204
70,Spotlight,2015,129,8.1,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015-11-06,20000000,45055776,91902438
71,Prisoners,2013,153,8.1,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2013-09-19,46000000,61002302,113310547
72,Mad Max: Fury Road,2015,120,8.1,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,249,2015-05-14,150000000,154363726,380463726
73,Gran Torino,2008,116,8.1,Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2008-12-12,25000000,148095302,274543085
74,How to Train Your Dragon,2010,98,8.1,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,2010-03-26,165000000,217851976,495141736
75,Into the Wild,2007,148,8.1,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2007-09-21,20000000,18354356,56822960
76,No Country for Old Men,2007,122,8.1,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2007-11-09,25000000,74273505,164035753
77,Million Dollar Baby,2004,132,8.1,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2004-12-15,30000000,100492203,231928227
78,Hotel Rwanda,2004,121,8.1,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2004-12-22,17500000,23519128,36520451
79,Finding Nemo,2003,100,8.1,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,2003-05-30,94000000,380529370,936094852
80,"Monsters, Inc.",2001,92,8.1,Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,2001-11-02,115000000,290149425,560483719
81,The Sixth Sense,1999,107,8.1,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,1999-01-15,40000000,293506292,672806292
82,The Truman Show,1998,103,8.1,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1998-06-05,60000000,125618201,264118201
83,The Big Lebowski,1998,117,8.1,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1998-03-06,15000000,18906338,47597102
84,Jurassic Park,1993,127,8.1,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1993-06-11,63000000,415404543,1058454230
85,Dead Poets Society,1989,128,8.1,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1989-06-02,16400000,95860116,239500000
86,Blade Runner,1982,117,8.1,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,1982-06-25,28000000,32724136,39649582
87,The Deer Hunter,1978,183,8.1,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1978-12-08,15000000,50000000,50065119
88,Ben-Hur,1959,212,8.1,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1959-11-18,15000000,73000000,73226628
89,Bajrangi Bhaijaan,2015,163,8.0,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015-07-16,13000000,8178001,122825618
90,La La Land,2016,128,8.0,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2016-11-30,30000000,151101803,504662906
91,Lion,2016,118,8.0,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2016-11-25,12000000,51739495,149117900
92,The Martian,2015,144,8.0,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,451,2015-09-30,108000000,228433663,653609107
93,Zootopia,2016,108,8.0,Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,2016-02-10,150000000,341268248,1025485003
94,Wonder,2017,113,8.0,Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2017-10-17,20000000,132422809,310179620
95,The Imitation Game,2014,114,8.0,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2014-11-14,15000000,91125143,227328585
96,Guardians of the Galaxy,2014,121,8.0,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,2014-07-31,170000000,333714112,770882395
97,Blade Runner 2049,2017,164,8.0,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,135,2017-09-29,185000000,92054159,258157449
98,Bohemian Rhapsody,2018,134,8.0,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2018-10-24,55000000,216303339,879088897
99,The Revenant,2015,156,8.0,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,2015-12-25,135000000,183637894,532938302
100,The Perks of Being a Wallflower,2012,103,8.0,Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2012-09-20,13000000,17742948,33069303
101,The Help,2011,146,8.0,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011-08-10,25000000,169705587,213120004
102,Deadpool,2016,108,8.0,Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2016-02-09,58000000,363070709,781947691
