,Movie Title,Release Year,Runtime,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Ranking,Release Date,Production Budget,Domestic Gross,Worldwide Gross
208,Back to the Future Part II,1989,108,7.8,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1989-11-22,40000000,118450002,331971868
209,Predator,1987,107,7.8,John McTiernan,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1987-06-12,18000000,59735548,98267558
210,The Goonies,1985,114,7.8,Richard Donner,Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985-06-07,19000000,68790604,69649283
211,The Color Purple,1985,154,7.8,Steven Spielberg,Danny Glover,Whoopi Goldberg,Oprah Winfrey,Margaret Avery,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985-12-18,15000000,94029472,94029472
212,The Killing Fields,1984,141,7.8,Roland Joffé,Sam Waterston,Haing S. Ngor,John Malkovich,Julian Sands,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1984-11-02,16000000,34609720,34609720
213,Ghostbusters,1984,105,7.8,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1984-06-08,30000000,242604185,295582480
214,The Right Stuff,1983,193,7.8,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,Dennis Quaid,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983-10-21,27000000,21500000,21500213
215,My Fair Lady,1964,170,7.8,George Cukor,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,1964-10-22,17000000,72000000,72073063
216,Roma,2018,135,7.7,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Carlos Peralta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2018-11-30,15000000,0,1903062
217,Deadpool 2,2018,119,7.7,David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2018-05-11,110000000,324591735,786362370
218,The Theory of Everything,2014,123,7.7,James Marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Sophie Perry,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2014-11-07,15000000,35893537,123327692
219,The Fault in Our Stars,2014,126,7.7,Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2014-06-04,12000000,124872350,307166834
220,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,Alejandro G. Iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,Andrea Riseborough,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014-10-17,18000000,42340598,102544383
221,Captain America: The Winter Soldier,2014,136,7.7,Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,178,2014-03-28,170000000,259746958,714401889
222,Nebraska,2013,115,7.7,Alexander Payne,Bruce Dern,Will Forte,June Squibb,Bob Odenkirk,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013-11-15,12000000,17654912,24761360
223,Wreck-It Ralph,2012,101,7.7,Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,2012-11-01,165000000,189412677,496511521
224,Midnight in Paris,2011,96,7.7,Woody Allen,Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,2011-05-20,30000000,56816662,162051975
225,The Lego Movie,2014,100,7.7,Christopher Miller,Phil Lord,Chris Pratt,Will Ferrell,Elizabeth Banks,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014-02-06,60000000,258364131,468155841
226,Gravity,2013,91,7.7,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,417,2013-10-03,110000000,274092705,684657731
227,Star Trek Into Darkness,2013,132,7.7,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119,2013-05-16,190000000,228778661,467381584
228,The Social Network,2010,120,7.7,David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2010-10-01,40000000,96962694,224922135
229,Skyfall,2012,143,7.7,Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,2012-10-26,200000000,304360277,1110526981
230,Silver Linings Playbook,2012,122,7.7,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2012-11-16,21000000,132092958,236412453
231,Argo,2012,120,7.7,Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2012-10-11,44500000,136025503,227140757
232,Frost/Nixon,2008,122,7.7,Ron Howard,Frank Langella,Michael Sheen,Kevin Bacon,Sam Rockwell,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2008-12-05,29000000,18622031,28452945
233,Changeling,2008,141,7.7,Clint Eastwood,Angelina Jolie,Colm Feore,Amy Ryan,Gattlin Griffith,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2008-10-24,55000000,35739802,113805580
234,Flipped,2010,90,7.7,Rob Reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2010-08-06,14000000,1755212,4294635
235,Zodiac,2007,157,7.7,David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,672,2007-03-02,85000000,33080084,83027938
236,Lucky Number Slevin,2006,110,7.7,Paul McGuigan,Josh Hartnett,Ben Kingsley,Morgan Freeman,Lucy Liu,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2006-04-07,27000000,22495466,55495466
237,Tangled,2010,100,7.7,Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2010-11-24,260000000,200821936,582440151
238,Brokeback Mountain,2005,134,7.7,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,Randy Quaid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2005-12-09,13900000,83043761,176980863
239,3:10 to Yuma,2007,122,7.7,James Mangold,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2007-09-07,48000000,53606916,71171825
240,The Bourne Supremacy,2004,108,7.7,Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Brian Cox,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,639,2004-07-23,85000000,176087450,311001124
241,Ray,2004,152,7.7,Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Clifton Powell,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2004-10-29,40000000,75305995,124823094
242,Harry Potter and the Goblet of Fire,2005,157,7.7,Mike Newell,Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,232,2005-11-18,150000000,291147424,886112502
243,Man on Fire,2004,146,7.7,Tony Scott,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004-04-23,60000000,77906816,130968579
244,Coraline,2009,100,7.7,Henry Selick,Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunders,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2009-02-06,60000000,116472020,167222848
245,The Last Samurai,2003,154,7.7,Edward Zwick,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,2003-12-05,140000000,111110575,456810575
246,I Am Sam,2001,132,7.7,Jessie Nelson,Sean Penn,Michelle Pfeiffer,Dakota Fanning,Dianne Wiest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2001-12-28,22000000,40270895,92542418
247,Black Hawk Down,2001,144,7.7,Ridley Scott,Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,546,2001-12-28,95000000,108638745,159691085
248,Road to Perdition,2002,117,7.7,Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,Liam Aiken,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,710,2002-07-12,80000000,104054514,183354514
249,"O Brother, Where Art Thou?",2000,107,7.7,Joel Coen,Ethan Coen,George Clooney,John Turturro,Tim Blake Nelson,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2000-09-15,26000000,45506619,75763814
250,"South Park: Bigger, Longer & Uncut",1999,81,7.7,Trey Parker,Trey Parker,Matt Stone,Mary Kay Bergman,Isaac Hayes,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1999-06-30,21000000,52037603,52037603
251,Training Day,2001,122,7.7,Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2001-10-05,45000000,76261036,104505352
252,Being John Malkovich,1999,113,7.7,Spike Jonze,John Cusack,Cameron Diaz,Catherine Keener,John Malkovich,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1999-10-29,13000000,22858926,32382381
253,The Fifth Element,1997,126,7.7,Luc Besson,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,552,1997-05-09,95000000,63570862,263892271
254,Hamlet,1996,242,7.7,Kenneth Branagh,Kenneth Branagh,Julie Christie,Derek Jacobi,Kate Winslet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1996-12-25,18000000,4501094,7129670
255,Philadelphia,1993,125,7.7,Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1993-12-22,26000000,77324422,201324422
256,The Muppet Christmas Carol,1992,85,7.7,Brian Henson,Michael Caine,Kermit the Frog,Dave Goelz,Miss Piggy,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1992-12-11,12000000,27379507,31724550
257,The Last of the Mohicans,1992,112,7.7,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1992-09-25,40000000,75505856,75505856
258,Glengarry Glen Ross,1992,100,7.7,James Foley,Al Pacino,Jack Lemmon,Alec Baldwin,Alan Arkin,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1992-09-30,12500000,10725228,10725650
259,A Few Good Men,1992,138,7.7,Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1992-12-11,33000000,141340178,236500000
260,The Last Emperor,1987,163,7.7,Bernardo Bertolucci,John Lone,Joan Chen,Peter O'Toole,Ruocheng Ying,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1987-11-20,25000000,43984987,44005435
261,The Verdict,1982,129,7.7,Sidney Lumet,Paul Newman,Charlotte Rampling,Jack Warden,James Mason,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1982-12-08,16000000,53977250,53977250
262,Star Trek II: The Wrath of Khan,1982,113,7.7,Nicholas Meyer,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1982-06-04,12000000,78912963,95800000
263,First Blood,1982,93,7.7,Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1982-10-22,14000000,47212904,125212904
264,Just Mercy,2019,137,7.6,Destin Daniel Cretton,Michael B. Jordan,Jamie Foxx,Brie Larson,Charlie Pye Jr.,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2019-12-25,25000000,36001502,50901502
265,Baby Driver,2017,113,7.6,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2017-06-28,34000000,107825862,226977991
266,Only the Brave,2017,134,7.6,Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2017-10-20,38000000,18340051,24555177
267,Bridge of Spies,2015,142,7.6,Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,2015-10-14,40000000,72313754,162498338
268,Incredibles 2,2018,118,7.6,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2018-06-15,200000000,608581744,1242805359
269,Moana,2016,107,7.6,Ron Clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,2016-01-27,150000000,248757044,684654985
270,Sicario,2015,121,7.6,Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015-09-17,30000000,46889293,84264182
271,Creed,2015,133,7.6,Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2015-11-25,37000000,109767581,174167581
272,Hell or High Water,2016,102,7.6,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2016-08-12,12000000,27007844,37566117
273,Philomena,2013,98,7.6,Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013-11-01,12000000,37709979,98963392
274,Dawn of the Planet of the Apes,2014,130,7.6,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,2014-07-09,170000000,208545589,710644566
275,End of Watch,2012,109,7.6,David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2012-09-20,15000000,41003371,57586606
276,Despicable Me,2010,95,7.6,Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,2010-07-09,69000000,252756705,544707293
277,Kick-Ass,2010,117,7.6,Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2010-04-16,28000000,48071303,97531134
278,Moneyball,2011,133,7.6,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2011-09-23,50000000,75605492,111300835
279,Zombieland,2009,88,7.6,Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2009-10-02,23600000,75590286,102236596
280,Sherlock Holmes,2009,128,7.6,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,576,2009-12-25,90000000,209028679,498438212
281,Seven Pounds,2008,123,7.6,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2008-12-19,54000000,69951824,166617328
282,Eastern Promises,2007,100,7.6,David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2007-09-14,50000000,17181265,56077088
283,Stardust,2007,127,7.6,Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,907,2007-08-10,70000000,38634938,137022245
284,Inside Man,2006,129,7.6,Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2006-03-24,50000000,88634237,185798265
285,Gone Baby Gone,2007,114,7.6,Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2007-10-19,19000000,20300218,34359030
286,The Illusionist,2006,110,7.6,Neil Burger,Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,2006-08-18,16500000,39868642,83792062
287,Harry Potter and the Half-Blood Prince,2009,153,7.6,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2009-07-15,250000000,302854063,926492031
288,Match Point,2005,124,7.6,Woody Allen,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,2005-12-28,15000000,23089926,87950928
289,Watchmen,2009,162,7.6,Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,306,2009-03-06,138000000,107509799,186976250
290,Lord of War,2005,122,7.6,Andrew Niccol,Nicolas Cage,Ethan Hawke,Jared Leto,Bridget Moynahan,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005-09-16,42000000,24149632,60437727
291,"Synecdoche, New York",2008,124,7.6,Charlie Kaufman,Philip Seymour Hoffman,Samantha Morton,Michelle Williams,Catherine Keener,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2008-10-24,20000000,3083538,4383538
292,Un long dimanche de fiançailles,2004,133,7.6,Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,Jodie Foster,Dominique Pinon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,2004-11-26,55000000,6167817,69722444
293,21 Grams,2003,124,7.6,Alejandro G. Iñárritu,Sean Penn,Benicio Del Toro,Naomi Watts,Danny Huston,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2003-11-21,20000000,16248701,59667625
294,Finding Neverland,2004,106,7.6,Marc Forster,Johnny Depp,Kate Winslet,Julie Christie,Radha Mitchell,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004-11-12,25000000,51676606,115036108
295,The Butterfly Effect,2004,113,7.6,Eric Bress,J. Mackye Gruber,Ashton Kutcher,Amy Smart,Melora Walters,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,2004-01-23,13000000,57924679,95638592
296,The Royal Tenenbaums,2001,110,7.6,Wes Anderson,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,Ben Stiller,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2001-12-14,28000000,52353636,71430876
297,The Others,2001,101,7.6,Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alakina Mann,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,,2001-08-10,17000000,96545842,207788211
298,Blow,2001,124,7.6,Ted Demme,Johnny Depp,Penélope Cruz,Franka Potente,Rachel Griffiths,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2001-04-06,30000000,52990775,83282296
299,Enemy at the Gates,2001,131,7.6,Jean-Jacques Annaud,Jude Law,Ed Harris,Joseph Fiennes,Rachel Weisz,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,661,2001-03-16,85000000,51396781,96971293
300,Minority Report,2002,145,7.6,Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,467,2002-06-21,102000000,132024714,358824714
301,The Hurricane,1999,146,7.6,Norman Jewison,Denzel Washington,Vicellous Shannon,Deborah Kara Unger,Liev Schreiber,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1999-12-29,38000000,50699241,73956241
302,The Thin Red Line,1998,170,7.6,Terrence Malick,Jim Caviezel,Sean Penn,Nick Nolte,Kirk Acevedo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1998-12-23,52000000,36400491,97709034
303,Mulan,1998,88,7.6,Tony Bancroft,Barry Cook,Ming-Na Wen,Eddie Murphy,BD Wong,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,587,1998-06-19,90000000,120620254,303500000
304,Fear and Loathing in Las Vegas,1998,118,7.6,Terry Gilliam,Johnny Depp,Benicio Del Toro,Tobey Maguire,Michael Lee Gogin,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1998-05-22,18500000,10680275,13711903
305,Dark City,1998,100,7.6,Alex Proyas,Rufus Sewell,Kiefer Sutherland,Jennifer Connelly,William Hurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,1998-02-27,27000000,14435076,27257061
306,Sleepers,1996,147,7.6,Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1996-10-18,44000000,53300852,165600852
307,Sense and Sensibility,1995,136,7.6,Ang Lee,Emma Thompson,Kate Winslet,James Fleet,Tom Wilkinson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1995-12-11,16500000,42993774,134993774
308,Die Hard: With a Vengeance,1995,128,7.6,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,592,1995-05-19,90000000,100012499,366101666
309,The Bridges of Madison County,1995,135,7.6,Clint Eastwood,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1995-06-02,22000000,71516617,175516617
310,Home Alone,1990,103,7.6,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1990-11-16,15000000,285761243,476678838
311,The Godfather: Part III,1990,162,7.6,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,Talia Shire,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1990-12-25,54000000,66666062,66785536
312,Lethal Weapon,1987,109,7.6,Richard Donner,Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1987-03-06,15000000,65192350,120192350
313,Close Encounters of the Third Kind,1977,138,7.6,Steven Spielberg,Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1977-11-16,20000000,169100479,340800479
